Ruc,Empresa,Establecimiento,Giro,Resolución,Código Sala,Vigencia,Máq.,Memoria,Mesas,Dirección,Distrito,Provincia,Departamento
20265815830,CORPORACION TURISTICA PERUANA S.A.C.,ATLANTIC CITY,REST. 5TT,5363,110019002,20/01/2028,609,4526,--,ALFREDO BENAVIDES No. 430,MIRAFLORES,LIMA,LIMA
20231843460,COSTA DEL SOL S.A.,MASARIS - TUMBES,HOTEL ****,117,110021001,17/01/2027,171,511,--,Calle SAN MARTIN No. 275 - 275,TUMBES,TUMBES,TUMBES
20305556786,GAMING AND SERVICES S.A.C.,JOKERS,HOTEL *****,1598,110032006,--,120,241,--,Av. JOSE PARDO No. 422 - 422,MIRAFLORES,LIMA,LIMA
20305556786,GAMING AND SERVICES S.A.C.,FANTASTIC,HOTEL *****,1614,110032007,25/10/2026,154,287,--,Av. MALECON DE LA RESERVA No. 615,MIRAFLORES,LIMA,LIMA
20305556786,GAMING AND SERVICES S.A.C.,MIAMI,REST. 5TT,2917,110032008,11/07/2027,153,384,--,Av. LA MARINA No. 1725 - 1729,SAN MIGUEL,LIMA,LIMA
20305556786,GAMING AND SERVICES S.A.C.,CARRERA,HOTEL ****,3861 - 2025,110032009,4/06/2029,203,360,--,Av. ARENALES 1814-A No. 1814,LINCE,LIMA,LIMA
20305556786,GAMING AND SERVICES S.A.C.,DELUXE,REST. 5TT,897 - 2026,110032011,18/02/2030,124,247,--,Av. CAYMA No. 701,CAYMA,AREQUIPA,AREQUIPA
20305556786,GAMING AND SERVICES S.A.C.,JOKER,REST. 5TT,1617,110032012,1/12/2026,233,628,--,Calle MERCADERES No. 303,AREQUIPA,AREQUIPA,AREQUIPA
20305556786,GAMING AND SERVICES S.A.C.,PORTAL HOTEL,HOTEL ****,131,110032013,3/04/2027,161,453,--,Otro PORTAL DE FLORES No. 104 - 106 - 110 - 116 - 118 - 120,AREQUIPA,AREQUIPA,AREQUIPA
20305556786,GAMING AND SERVICES S.A.C.,SAN CAMILO,HOTEL ***,1616,110032014,--,73,167,--,Calle SAN CAMILO No. 102-A - 104,AREQUIPA,AREQUIPA,AREQUIPA
20305556786,GAMING AND SERVICES S.A.C.,SOL Y LUNA,REST. 5TT,2697,110032016,--,93,213,--,Jr. SAN ROMAN No. 301,JULIACA,SAN ROMÁN,PUNO
