ruc,empresa,establecimiento,giro,resolucion,codigo_sala,vigencia,maq,memoria,mesas,direccion,distrito,provincia,departamento,direccion_original,direccion_normalizada,direccion_variantes
20545188202,ABSOLUTE GAMES S.A.C.,LUCKIA,REST. 5TT,819 - 2024,211544051,2028-02-20,,,12.0,Av. LA MARINA No. 662 y Calle SANTA CECILIA No. 107 - 119,PUEBLO LIBRE,LIMA,LIMA,Av. LA MARINA No. 662 y Calle SANTA CECILIA No. 107 - 119,"AVENIDA. LA MARINA NO. 662 Y CALLE SANTA CECILIA NO. 107, 119","[""AVENIDA. LA MARINA NO. 662 Y CALLE SANTA CECILIA NO. 107, 119"", ""AVENIDA. LA MARINA NO. 662 Y CALLE SANTA CECILIA NO. 107, 119, PUEBLO LIBRE""]"
20503108683,ALAMEDA GAMING S.A.C.,EL FARAON II,,002879,120305004,2027-04-16,37.0,63.0,,Av. BENJAMIN FRANKLIN 630 MZ. A2 5 y Av. BENJAMIN FRANKLIN 632 MZ. A2 6,ATE,LIMA,LIMA,Av. BENJAMIN FRANKLIN 630 MZ. A2 5 y Av. BENJAMIN FRANKLIN 632 MZ. A2 6,AVENIDA. BENJAMIN FRANKLIN 630 MZ. A2 5 Y AVENIDA. BENJAMIN FRANKLIN 632 MZ. A2 6,"[""AVENIDA. BENJAMIN FRANKLIN 630 MZ. A2 5 Y AVENIDA. BENJAMIN FRANKLIN 632 MZ. A2 6"", ""AVENIDA. BENJAMIN FRANKLIN 630 MZ. A2 5 Y AVENIDA. BENJAMIN FRANKLIN 632 MZ. A2 6, ATE""]"
20498152636,ALFIL DE ORO S.A.C.,ALFIL DE ORO,HOTEL ***,7925 - 2024,110171005,2028-12-20,42.0,106.0,,Av. LIMA No. 138,CAMANÁ,CAMANÁ,AREQUIPA,Av. LIMA No. 138,AVENIDA. LIMA NO. 138,"[""AVENIDA. LIMA NO. 138"", ""AVENIDA. LIMA NO. 138, CAMANÁ""]"
20498152636,ALFIL DE ORO S.A.C.,SALON DE JUEGOS QUEEN,,7777 - 2025,120171003,2029-10-17,58.0,143.0,,Otro BOULEVARD 28 DE JULIO No. 180 - 180,CAMANÁ,CAMANÁ,AREQUIPA,Otro BOULEVARD 28 DE JULIO No. 180 - 180,"BOULEVARD 28 DE JULIO NO. 180, 180","[""BOULEVARD 28 DE JULIO NO. 180, 180"", ""BOULEVARD 28 DE JULIO NO. 180, 180, CAMANÁ""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,BARRANCA 1,,1972,120695012,2026-07-13,169.0,295.0,,Jr. JOSE GALVEZ No. 245 - 245 - 247 - 247,BARRANCA,BARRANCA,LIMA,Jr. JOSE GALVEZ No. 245 - 245 - 247 - 247,"JIRON. JOSE GALVEZ NO. 245, 245, 247, 247","[""JIRON. JOSE GALVEZ NO. 245, 245, 247, 247"", ""JIRON. JOSE GALVEZ NO. 245, 245, 247, 247, BARRANCA""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,BARRANCA 3,,882,120695014,2027-03-10,120.0,214.0,,Jr. JOSE GALVEZ No. 201 - 209 - 217,BARRANCA,BARRANCA,LIMA,Jr. JOSE GALVEZ No. 201 - 209 - 217,"JIRON. JOSE GALVEZ NO. 201, 209, 217","[""JIRON. JOSE GALVEZ NO. 201, 209, 217"", ""JIRON. JOSE GALVEZ NO. 201, 209, 217, BARRANCA""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,BOLIVAR,,7650 - 2025,120695010,2029-10-14,44.0,73.0,,Av. BOLIVAR No. 1833,PUEBLO LIBRE,LIMA,LIMA,Av. BOLIVAR No. 1833,AVENIDA. BOLIVAR NO. 1833,"[""AVENIDA. BOLIVAR NO. 1833"", ""AVENIDA. BOLIVAR NO. 1833, PUEBLO LIBRE""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,CHOSICA 1,,1979,120695009,2026-07-18,51.0,163.0,,Av. 28 DE JULIO No. 289 y Jr. CALLAO No. 178,LURIGANCHO,LIMA,LIMA,Av. 28 DE JULIO No. 289 y Jr. CALLAO No. 178,AVENIDA. 28 DE JULIO NO. 289 Y JIRON. CALLAO NO. 178,"[""AVENIDA. 28 DE JULIO NO. 289 Y JIRON. CALLAO NO. 178"", ""AVENIDA. 28 DE JULIO NO. 289 Y JIRON. CALLAO NO. 178, LURIGANCHO""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,COMAS 4,,7649 - 2025,120695002,2029-10-14,59.0,142.0,,Av. TUPAC AMARU No. 6021 - 6027,COMAS,LIMA,LIMA,Av. TUPAC AMARU No. 6021 - 6027,"AVENIDA. TUPAC AMARU NO. 6021, 6027","[""AVENIDA. TUPAC AMARU NO. 6021, 6027"", ""AVENIDA. TUPAC AMARU NO. 6021, 6027, COMAS""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,HUACHO 3,,1143,120695021,,69.0,166.0,,ECHENIQUE No. S/N y GRAU No. 596,HUACHO,HUAURA,LIMA,ECHENIQUE No. S/N y GRAU No. 596,ECHENIQUE NO. S/N Y GRAU NO. 596,"[""ECHENIQUE NO. S/N Y GRAU NO. 596"", ""ECHENIQUE NO. S/N Y GRAU NO. 596, HUACHO""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,HUANCAYO,,1383,120695026,2026-07-22,376.0,707.0,,Av. GIRALDEZ No. 221 - 221,HUANCAYO,HUANCAYO,JUNÍN,Av. GIRALDEZ No. 221 - 221,"AVENIDA. GIRALDEZ NO. 221, 221","[""AVENIDA. GIRALDEZ NO. 221, 221"", ""AVENIDA. GIRALDEZ NO. 221, 221, HUANCAYO""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,HUARAZ 1,,1766,120695020,2026-07-07,82.0,114.0,,Av. LUZURIAGA No. 570,HUARAZ,HUARAZ,ÁNCASH,Av. LUZURIAGA No. 570,AVENIDA. LUZURIAGA NO. 570,"[""AVENIDA. LUZURIAGA NO. 570"", ""AVENIDA. LUZURIAGA NO. 570, HUARAZ""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,IQUITOS 1,,1815,120695013,2027-05-09,117.0,237.0,,Jr. PROSPERO No. 248 - 250,IQUITOS,MAYNAS,LORETO,Jr. PROSPERO No. 248 - 250,"JIRON. PROSPERO NO. 248, 250","[""JIRON. PROSPERO NO. 248, 250"", ""JIRON. PROSPERO NO. 248, 250, IQUITOS""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,JULIACA 1,,189,120695011,,133.0,238.0,,Jr. SAN ROMAN No. 216,JULIACA,SAN ROMÁN,PUNO,Jr. SAN ROMAN No. 216,JIRON. SAN ROMAN NO. 216,"[""JIRON. SAN ROMAN NO. 216"", ""JIRON. SAN ROMAN NO. 216, JULIACA""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,PUCALLPA 1,,2492,120695022,2027-06-14,109.0,148.0,,UCAYALI No. 315 - 329,CALLERIA,CORONEL PORTILLO,UCAYALI,UCAYALI No. 315 - 329,"UCAYALI NO. 315, 329","[""UCAYALI NO. 315, 329"", ""UCAYALI NO. 315, 329, CALLERIA""]"
20530811183,ALPAMAYO INVERSIONES S.A.C.,PUCALLPA 2,,3815,120695025,2027-09-01,208.0,493.0,,Jr. UCAYALI No. 744,CALLERIA,CORONEL PORTILLO,UCAYALI,Jr. UCAYALI No. 744,JIRON. UCAYALI NO. 744,"[""JIRON. UCAYALI NO. 744"", ""JIRON. UCAYALI NO. 744, CALLERIA""]"
